Galaxy 	 RA 	 Dec 	 n 	 [CII]Lum 	 [CII]Lerr 	 [NII]Lum 	 [NII]Lerr 	 fneut 	 fneut_err 	 LTIR 	 TIRerr 	 70160 	 70160_err 	 area 	 cosi 	 SFR 	 SFRerr 	 [OI]Lum 	 [OI]Lerr	 log10(G0) 	 err_log10(G0) 	 log10(n) 	 errlog10(n) 
NGC3521w	166.43946	-0.03631	258.224765053	1.44947742292e+40	1.46925789525e+39	3.39600721386e+39	4.21612219811e+38	0.0210088541799	0.00329643973127	3.74415650595e+42	1.23223014429e+41	0.941834161804	0.06689769857649999	3.70505645497	0.438371146789	0.08168029265210001	0.0032495864038	3.540112494512691e+39	4.980519951897745e+38	4.34709995	0.897542769182	4.25	0.230791209397
NGC3627e	170.07456000000002	12.99282	1.8280600135900003	1.66231711196e+40	1.6711871299299998e+39	1.09473456204e+39	1.2592557504800001e+38	0.720019080529	0.030797060595	3.90480243927e+42	1.31758142712e+41	1.12967196555	0.0870676657358	2.59874975412	0.422618261741	0.10864628371200001	0.00391740121571	4.192335765993971e+39	4.7465900196525165e+38	1.26812834	0.559862870462	3.29548426	0.310450607416
NGC3627f	170.06919	12.99469	56.1034255889	1.02009356917e+40	1.0275684387099999e+39	1.48473374977e+39	1.86934391236e+38	0.4943496082	0.0403053555063	4.90955579048e+42	1.61282802541e+41	1.3918758557700002	0.10325983322799999	2.59874975412	0.422618261741	0.12406949910199999	0.0044934475421099995	1.989182459888533e+39	2.4379201483973648e+38	2.57610917	0.218652532643	2.32610917	0.320983006719
NGC3627g	170.06383	12.99657	17.1790285529	1.4209779016899998e+40	1.42599803551e+39	1.2570787215199999e+39	1.3729481490200001e+38	0.6849380017810001	0.0320074341089	6.50000056837e+42	2.0946787297e+41	1.4989317761	0.10887670419399999	2.59874975412	0.422618261741	0.156493243541	0.00580622162471	4.1550152695607886e+39	4.409711865109901e+38	2.5	0.327460140556	2.57141058	0.21738158840799998
NGC3627h	170.05846	12.998439999999999	89.32972870530001	1.23126537816e+40	1.23846301787e+39	2.2936555099600002e+39	2.44392651037e+38	0.327154514172	0.0322544264603	6.60906497083e+42	2.13285694571e+41	1.32823564613	0.09657210760510002	2.59874975412	0.422618261741	0.158281891836	0.00601669040454	2.012818774296215e+39	2.7493762730372267e+38	2.21363641	0.389424838971	1.32045462	0.510531757009
NGC3627i	170.05309	13.00031	22.181356398800002	2.1981772399099997e+40	2.20315646707e+39	2.17018686759e+39	2.26831348592e+38	0.653548066205	0.032788452541799996	6.30614383141e+42	2.04239214897e+41	1.17622718323	0.08601305303239999	2.59874975412	0.422618261741	0.15722072455299999	0.006075931669609999	5.0133866875239466e+39	5.377466725405092e+38	1.11601557	0.616987844937	3.37999135	0.33914526884499996
NGC3627j	170.04772	13.002189999999999	15.7032448649	1.50805906004e+40	1.51410125029e+39	1.2648538249500001e+39	1.4310108752899999e+38	0.6978132033810001	0.0318965798206	3.96803722213e+42	1.34218989317e+41	1.09137709138	0.084057143538	2.59874975412	0.422618261741	0.09878433764419998	0.00386557709538	3.934202332331136e+39	4.2627905323172956e+38	1.34125537	0.5901290234250001	3.25485813	0.319732977461
NGC3627k	170.07263999999998	12.987589999999999	13.304480361	2.11327311053e+40	2.1170475519400002e+39	1.7549963447699998e+39	1.88832353937e+38	0.693014775807	0.0312763581998	5.64324659407e+42	1.80785493906e+41	1.30485682645	0.0960298198451	2.59874975412	0.422618261741	0.161976596558	0.00598626130991	5.405251900072344e+39	5.653265027701686e+38	1.10821356	0.618407315331	3.3843258	0.329956019
NGC3627l	170.06727	12.989460000000001	19.6783252226	1.15040430255e+40	1.15621029726e+39	9.77174998275e+38	1.1413038271e+38	0.699658322367	0.0323791443491	6.896275347520001e+42	2.20451677026e+41	1.5312702582799997	0.110909567566	2.59874975412	0.422618261741	0.17007382536600002	0.0064121726890799995	3.4832463337635365e+39	3.7560926542243095e+38	2.75	0.47661799351499995	2.58996909	0.300717464087
NGC3627m	170.0619	12.99134	5.94289246921	1.14698325705e+40	1.15258691212e+39	8.1389782638e+38	9.176708166e+37	0.722854157693	0.030257067893500002	7.86246676264e+42	2.51347672082e+41	1.63699932528	0.117838891675	2.59874975412	0.422618261741	0.180091154637	0.006901166798949999	4.6246315163449797e+39	4.847241287164316e+38	2.94716346	0.814738994998	2.94716346	0.453610825272
NGC3627n	170.05653999999998	12.993210000000001	41.878613854899996	9.566487252370001e+39	9.64476354435e+38	1.07918435519e+39	1.27167872657e+38	0.611674281805	0.03683603162	5.89834676551e+42	1.9193313960000002e+41	1.37757523257	0.10074447272199999	2.59874975412	0.422618261741	0.134353665037	0.005176941069720001	2.990926784982493e+39	3.3883909854544308e+38	2.75	0.422082308425	2.56417322	0.259628395079
NGC3627o	170.05116999999998	12.99508	36.3904919462	1.35908807844e+40	1.36522632142e+39	1.2150931630399998e+39	1.35238281374e+38	0.691559969953	0.0319800221215	4.0394095393e+42	1.3862317136899999e+41	1.0205329838400001	0.0785553371646	2.59874975412	0.422618261741	0.09187023451910001	0.00356411919425	3.0232712152245837e+39	3.5391245521462374e+38	1.00350079	0.616152995279	3.44249956	0.35791702762100003
NGC3627p	170.07072	12.98236	0.31651525428599997	4.1643453936700003e+40	4.16675951678e+39	2.12446925946e+39	2.1996249916799998e+38	0.775815320022	0.025042696039900003	8.48358920233e+42	2.59160493099e+41	1.47639188606	0.106301002976	2.59874975412	0.422618261741	0.279207774148	0.0106317694286	1.2390404815816006e+40	1.2517105340530404e+39	1.09425931	0.50590941529	3.51756611	0.287475484211
NGC3627q	170.06535	12.98423	8.053685617969998	2.05946939484e+40	2.06387555701e+39	2.04112015076e+39	2.11502233981e+38	0.616213936143	0.0340913581065	7.96303042238e+42	2.47508499525e+41	1.5065485012600002	0.108615506193	2.59874975412	0.422618261741	0.23264393353100002	0.008894729565600001	5.650945168257452e+39	5.984658643677576e+38	2.69309784	0.325265168956	2.75	0.22728418632199998
NGC3627r	170.05998	12.98611	15.416584605999999	9.47007596992e+39	9.566926328369999e+38	1.1208589095399999e+39	1.22496696946e+38	0.574225880505	0.036386814279699996	6.14032245129e+42	1.97950061754e+41	1.4979959162099998	0.109174388291	2.59874975412	0.422618261741	0.14741911166	0.00560236142415	2.958271350603461e+39	3.598696385211345e+38	2.88324203	0.21602449120099998	2.75	0.16111434095799998
NGC3627t	170.06878999999998	12.97713	0.37209276024800003	4.3851583309e+40	4.38909908256e+39	2.18387104961e+39	2.3251140188899997e+38	0.781785404158	0.024928954456599997	8.70048251555e+42	2.62862716932e+41	1.57289407351	0.113151060591	2.59874975412	0.422618261741	0.301548463233	0.0115845241206	1.266719849769543e+40	1.2811204481288108e+39	0.96023496	0.529951773951	3.59415145	0.314981642525
NGC3627u	170.06342	12.979000000000001	0.244161377074	2.73528138442e+40	2.7409556515399997e+39	1.89339318571e+39	1.99236396393e+38	0.6952825353509999	0.0307855483837	6.99526879736e+42	2.1527021418e+41	1.48647040291	0.107908751123	2.59874975412	0.422618261741	0.22888350272500002	0.008768813794530001	7.597831065521715e+39	7.973144275371677e+38	1.23769187	0.5836623775750001	3.3123934	0.312613584583
NGC3627x	170.06687	12.9719	26.2421225944	1.6607620912800002e+40	1.67059332627e+39	2.2081293723e+39	2.7236599727499998e+38	0.534607297253	0.0396004006085	4.99946694763e+42	1.573842524e+41	1.4338713562999998	0.10670482224899999	2.59874975412	0.422618261741	0.164970223055	0.00629626283275	4.2514265520131726e+39	4.755188174427151e+38	2.5	0.295209400486	2.92578707	0.19158014287099998
NGC3627y	170.0615	12.97377	8.68935070705	1.08136138415e+40	1.0966270779e+39	1.01822754435e+39	1.3695522262699999e+38	0.642617945183	0.0386863418236	3.81910045099e+42	1.25519582544e+41	1.3224011012	0.10186725717700001	2.59874975412	0.422618261741	0.117946299851	0.004473757315319999	2.1325553670193368e+39	3.326525167363014e+38	2.38855438	0.157975619585	2.5	0.17486447130600002
NGC4254a	184.70354	14.40615	10.0691944996	4.1486032632500003e+40	4.17111981487e+39	2.6672733701299998e+39	3.2978412352800002e+38	0.756045709211	0.0293926332742	8.40298202257e+42	2.64695576175e+41	1.08940916749	0.0773617459166	6.12468516026	0.866025403784	0.242908731913	0.00899785293346	8.883581546033391e+39	1.0683653113269852e+39	0.45785032	0.5854156689259999	3.71384355	0.376581462389
NGC4254b	184.70897	14.40436	4.66652506805	4.67707374961e+40	4.6933616683100004e+39	2.23482179322e+39	2.3879831326300003e+38	0.806707653467	0.022857197568200004	7.39729160087e+42	2.3146467225200002e+41	1.1160042964599999	0.07934801899560001	6.12468516026	0.866025403784	0.228588901331	0.00832168072088	8.824944044079375e+39	1.029307358346616e+39	1.89371211	0.510475826893	2.75	0.30136683254
NGC4254c	184.70539	14.41141	2.6667642425099998	7.461622123649999e+40	7.47207756083e+39	6.220705988549999e+39	6.30669372542e+38	0.6545415081279999	0.0322217894998	1.4085549941500001e+43	4.4303033914899995e+41	1.1802721088400001	0.0835766395122	6.12468516026	0.866025403784	0.37151195818800004	0.0140187687044	1.598604897021355e+40	1.695674309855234e+39	1.13123433	0.5024162095620001	3.37153648	0.28732345553800004
NGC4254d	184.7018	14.418460000000001	8.26013904142	7.54224868884e+40	7.54803363309e+39	6.95733960684e+39	7.08853067207e+38	0.643640510639	0.0327570314096	1.5145445171e+43	4.81412989432e+41	1.1776781654000001	0.0833743580047	6.12468516026	0.866025403784	0.363348489681	0.0137965148612	1.6286566167727882e+40	1.6858662329817742e+39	1.15829555	0.542814465615	3.35650247	0.305341353953
NGC4254e	184.70723	14.416670000000002	6.807556848759999	8.91290029701e+40	8.91874911916e+39	9.14745030483e+39	9.25495964467e+38	0.602558974882	0.0340784741846	1.74031461264e+43	5.5031488843800005e+41	1.20124796061	0.08501814488389998	6.12468516026	0.866025403784	0.43176619354400003	0.0163000079935	1.929173814287119e+40	1.9770177551536063e+39	1.24233381	0.5709258294780001	3.30981455	0.317616392688
NGC4254f	184.69822	14.425510000000001	35.4806309527	2.9018233779500003e+40	2.92001522206e+39	2.19744038573e+39	2.70409893552e+38	0.739114842326	0.0306515965019	6.89567233919e+42	2.24045561869e+41	1.0313142857100002	0.07337562584610001	6.12468516026	0.866025403784	0.164302315013	0.00615043584539	7.167701645104004e+39	8.521221790269374e+38	1.13633311	0.563317895935	3.36870383	0.316774473804
NGC4254g	184.70365	14.423720000000001	23.280485558899997	4.64335718598e+40	4.65649029696e+39	4.69906281284e+39	4.9484011778599996e+38	0.6430265773920001	0.0333794526285	1.13407354382e+43	3.64075405983e+41	1.09848739496	0.077846405397	6.12468516026	0.866025403784	0.269078963713	0.010123797605600001	1.0298211280674023e+40	1.1646450388915649e+39	1.08000757	0.609500234506	3.3999957999999997	0.333624787286
NGC4254h	184.70908	14.42193	17.0210613546	6.052856139199999e+40	6.063038513960001e+39	7.43963306042e+39	7.62405834296e+38	0.5625746760379999	0.035264513917199994	1.35173582411e+43	4.31093513698e+41	1.1288255718200002	0.0799432704764	6.12468516026	0.866025403784	0.33118315277399996	0.0124080024382	1.336202075777135e+40	1.42990883431299e+39	1.11525547	0.591879362393	3.38041363	0.304918673301
NGC4321d	185.73563000000001	15.825339999999999	16.6339419191	1.95451609655e+40	1.97526004897e+39	2.79443758479e+39	3.72759467889e+38	0.482033551329	0.0417843488503	8.07946072667e+42	2.5937385779000003e+41	1.12568566659	0.0810001133444	6.03991545342	0.8480480961560001	0.21462847854699998	0.008015841009020001	5.997993553689076e+39	7.282896746716121e+38	1.61298381	0.775109360519	3.51682554	0.364764599113
NGC4321e	185.73025	15.82736	0.349135474158	3.47461496898e+40	3.48997551699e+39	3.99143412912e+39	4.16006205511e+38	0.49557437801200005	0.036183668682	1.15039265408e+43	3.65358331635e+41	1.2552293977	0.0894976277421	6.03991545342	0.8480480961560001	0.29138274845400003	0.010816320647100001	1.0690566963010541e+40	1.1518662297427312e+39	1.01856016	0.84923330945	3.78701811	0.405221028647
NGC4321f	185.72486999999998	15.829379999999999	42.3641974733	1.72827218449e+40	1.75227819611e+39	3.2505395289200005e+39	3.68143069644e+38	0.352559906012	0.034697726900999995	8.19111798313e+42	2.6682190501e+41	1.1577477896700001	0.0831944559453	6.03991545342	0.8480480961560001	0.18963543093600002	0.007010062915120001	2.918763312821945e+39	4.942433935616518e+38	2.88391011	0.307623059394	2.63391011	0.42550453894699997
NGC4321g	185.71948999999998	15.8314	44.976844791800005	1.4376969364e+40	1.46359163489e+39	2.2487054646300002e+39	3.18577697821e+38	0.46204247673999993	0.0433622314159	4.4645760811200003e+42	1.54060888902e+41	0.921467603435	0.06904024617269999	6.03991545342	0.8480480961560001	0.106586614738	0.00393829051212	1.571419376442523e+39	3.568859963532154e+38	1.63645503	0.333533342992	1.48306879	0.385657702228
NGC4321h	185.71411	15.833420000000002	64.1203984978	1.25482246435e+40	1.2763311404300001e+39	1.7383917204900002e+39	2.53155018092e+38	0.519182397594	0.0443423259937	3.39949101874e+42	1.21645223016e+41	0.8572432839569999	0.067078536991	6.03991545342	0.8480480961560001	0.0877164237963	0.0032359926442100005	9.967742962806985e+38	2.9152076203593976e+38	1.88702999	nan	1.88702999	nan
NGC4321i	185.73891	15.81815	21.927821774	1.51865322443e+40	1.5356162415e+39	1.99571706456e+39	2.79541236711e+38	0.539174842766	0.0429237140364	5.17608953789e+42	1.7436462710500003e+41	0.872037914692	0.0646613325031	6.03991545342	0.8480480961560001	0.13915463459000002	0.00523179833591	2.845758088801385e+39	4.173249138427919e+38	2.5	0.163127614389	2.65784209	0.170287289199
